sweep: 528 runs total → bench/results.csv [device=cuda]
  ERROR: OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 19.57 GiB of which 24.00 MiB is free. Including non-PyTorch memory, this process has 19.54 GiB memory in use. Of the allocated memory 19.27 GiB is allocated by PyTorch, and 20.29 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[383/528] p4 × racaso × lr=0.001 × seed=1
  ERROR: OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 19.57 GiB of which 24.00 MiB is free. Including non-PyTorch memory, this process has 19.54 GiB memory in use. Of the allocated memory 19.27 GiB is allocated by PyTorch, and 20.29 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[384/528] p4 × racaso × lr=0.001 × seed=2
  ERROR: OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 19.57 GiB of which 24.00 MiB is free. Including non-PyTorch memory, this process has 19.54 GiB memory in use. Of the allocated memory 19.27 GiB is allocated by PyTorch, and 20.29 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[385/528] p5 × adam × lr=0.0001 × seed=0
[386/528] p5 × adam × lr=0.0001 × seed=1
[387/528] p5 × adam × lr=0.0001 × seed=2
[388/528] p5 × adam × lr=0.0003 × seed=0
[389/528] p5 × adam × lr=0.0003 × seed=1
[390/528] p5 × adam × lr=0.0003 × seed=2
[391/528] p5 × adam × lr=0.001 × seed=0
[392/528] p5 × adam × lr=0.001 × seed=1
[393/528] p5 × adam × lr=0.001 × seed=2
[394/528] p5 × adam × lr=0.003 × seed=0
[395/528] p5 × adam × lr=0.003 × seed=1
[396/528] p5 × adam × lr=0.003 × seed=2
[397/528] p5 × adamw × lr=0.0001 × seed=0
[398/528] p5 × adamw × lr=0.0001 × seed=1
[399/528] p5 × adamw × lr=0.0001 × seed=2
[400/528] p5 × adamw × lr=0.0003 × seed=0
[401/528] p5 × adamw × lr=0.0003 × seed=1
[402/528] p5 × adamw × lr=0.0003 × seed=2
[403/528] p5 × adamw × lr=0.001 × seed=0
[404/528] p5 × adamw × lr=0.001 × seed=1
[405/528] p5 × adamw × lr=0.001 × seed=2
[406/528] p5 × adamw × lr=0.003 × seed=0
